rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,19,37,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 8], [1, 10], [1, 19], [2, 7], [3, 10], [6, 13], [6, 16], [6, 17], [8, 11], [8, 15], [8, 19], [10, 12], [10, 17], [10, 18], [10, 19], [11, 19], [13, 17], [16, 18], [16, 19]]",SAT
2,5,5,"[[1, 2], [2, 3], [3, 4], [4, 5], [1, 5]]",SAT
3,7,10,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [2, 4], [2, 7], [3, 5], [3, 7]]",SAT
4,4,4,"[[1, 2], [2, 3], [3, 4], [2, 4]]",SAT
5,9,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [3, 8], [5, 7], [6, 8]]",SAT
6,16,27,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 4], [1, 8], [2, 14], [4, 8], [4, 14], [4, 16], [5, 11], [5, 14], [6, 14], [8, 15], [8, 16], [10, 14]]",SAT
7,16,33,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [1, 5], [1, 7], [1, 16], [2, 15], [3, 12], [4, 15], [5, 7], [5, 14], [6, 8], [6, 9], [6, 14], [7, 13], [7, 15], [8, 10], [8, 13], [9, 12], [11, 16], [12, 15]]",SAT
8,16,32,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [2, 4], [3, 6], [3, 9], [3, 12], [3, 14], [3, 16], [4, 6], [4, 12], [4, 15], [5, 7], [6, 14], [7, 11], [9, 14], [9, 16], [11, 14], [12, 15], [12, 16]]",SAT
9,7,10,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [1, 4], [1, 6], [2, 5], [2, 7]]",SAT
10,14,24,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 9], [1, 13], [2, 5], [2, 6], [2, 14], [6, 9], [6, 10], [6, 11], [6, 14], [7, 11], [8, 13]]",SAT
11,8,7,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8]]",SAT
12,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
13,15,27,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 12], [2, 4], [2, 6], [2, 7], [3, 6], [3, 14], [4, 13], [6, 9], [7, 12], [7, 13], [7, 14], [9, 15], [12, 15]]",SAT
14,12,18,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [1, 4], [1, 8], [1, 11], [1, 12], [4, 7], [4, 8], [6, 11]]",SAT
15,17,23,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [3, 9], [4, 7], [4, 10], [4, 14], [8, 12], [10, 13], [11, 17]]",SAT
16,19,39,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [15, 16], [16, 17], [17, 18], [18, 19], [1, 3], [1, 13], [2, 10], [2, 16], [2, 17], [3, 11], [4, 6], [4, 8], [4, 9], [4, 11], [5, 19], [6, 8], [6, 9], [6, 15], [8, 10], [9, 11], [9, 16], [12, 16], [12, 18], [13, 18], [16, 18]]",UNSAT
17,12,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [2, 10], [3, 6], [3, 12], [5, 12], [6, 8], [8, 12]]",SAT
18,8,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [1, 5], [4, 6]]",SAT
19,11,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [1, 6], [1, 7], [2, 7], [2, 10], [4, 10], [6, 11], [8, 10]]",SAT
20,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
