rodada,qtd_torres,qtd_conexoes,conexoes,resultado_z3
1,6,7,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [1, 6], [2, 5]]",SAT
2,9,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 9]]",SAT
3,9,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [1, 4], [1, 6], [2, 4]]",SAT
4,10,12,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [2, 9], [4, 7], [7, 10]]",SAT
5,4,3,"[[1, 2], [2, 3], [3, 4]]",SAT
6,9,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [6, 8]]",SAT
7,13,18,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [1, 3], [1, 7], [2, 9], [3, 11], [7, 9], [8, 13]]",SAT
8,11,11,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [5, 9]]",SAT
9,6,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [1, 4]]",SAT
10,10,12,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [3, 8], [4, 9], [6, 10]]",SAT
11,14,20,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [1, 4], [2, 9], [2, 11], [5, 7], [7, 10], [8, 12], [11, 14]]",SAT
12,8,9,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [1, 7], [2, 8]]",SAT
13,12,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [2, 7], [3, 10], [5, 12], [6, 10], [6, 12], [10, 12]]",SAT
14,6,6,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [4, 6]]",SAT
15,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
16,7,10,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [1, 6], [2, 4], [3, 6], [4, 7]]",SAT
17,7,7,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [3, 6]]",SAT
18,15,19,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [12, 13], [13, 14], [14, 15], [1, 10], [1, 12], [2, 6], [5, 14], [11, 15]]",SAT
19,12,17,"[[1, 2], [2, 3], [3, 4], [4, 5], [5, 6], [6, 7], [7, 8], [8, 9], [9, 10], [10, 11], [11, 12], [2, 11], [2, 12], [3, 6], [3, 9], [4, 7], [5, 12]]",SAT
20,5,4,"[[1, 2], [2, 3], [3, 4], [4, 5]]",SAT
