rodada,qtd_torres,qtd_conexoes,resultado_z3,predicao_phi3,status
1,8,8,SAT,SAT,CORRETO
2,5,5,SAT,SAT,CORRETO
3,20,38,SAT,UNSAT,ERRADO
4,19,38,SAT,SAT,CORRETO
5,14,28,SAT,UNSAT,ERRADO
6,10,14,SAT,SAT,CORRETO
7,7,8,SAT,SAT,CORRETO
8,17,30,SAT,UNSAT,ERRADO
9,10,17,SAT,SAT,CORRETO
10,18,44,UNSAT,UNSAT,CORRETO
11,12,21,UNSAT,UNSAT,CORRETO
12,8,10,SAT,SAT,CORRETO
13,4,3,SAT,SAT,CORRETO
14,15,30,SAT,UNSAT,ERRADO
15,3,2,SAT,SAT,CORRETO
16,10,18,SAT,UNSAT,ERRADO
17,17,29,SAT,UNSAT,ERRADO
18,11,16,SAT,SAT,CORRETO
19,6,6,SAT,SAT,CORRETO
20,13,22,UNSAT,SAT,ERRADO
