rodada,qtd_torres,qtd_conexoes,resultado_z3,phi3_estruturado,status_estruturado,phi3_natural,status_natural
1,18,34,SAT,UNSAT,ERRADO,UNSAT,ERRADO
2,6,9,SAT,SAT,CORRETO,UNSAT,ERRADO
3,9,11,SAT,SAT,CORRETO,UNSAT,ERRADO
4,9,11,SAT,SAT,CORRETO,UNSAT,ERRADO
5,9,15,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
6,7,9,SAT,SAT,CORRETO,UNSAT,ERRADO
7,5,4,SAT,SAT,CORRETO,UNSAT,ERRADO
8,17,39,UNSAT,UNSAT,CORRETO,UNSAT,CORRETO
9,5,4,SAT,SAT,CORRETO,UNSAT,ERRADO
10,5,5,SAT,SAT,CORRETO,UNSAT,ERRADO
11,15,31,SAT,SAT,CORRETO,UNSAT,ERRADO
12,7,7,SAT,SAT,CORRETO,UNSAT,ERRADO
13,18,37,SAT,UNSAT,ERRADO,UNSAT,ERRADO
14,15,29,UNSAT,SAT,ERRADO,UNSAT,CORRETO
15,5,5,SAT,SAT,CORRETO,SAT,CORRETO
16,20,38,SAT,UNSAT,ERRADO,UNSAT,ERRADO
17,11,19,SAT,SAT,CORRETO,UNSAT,ERRADO
18,11,20,SAT,UNSAT,ERRADO,UNSAT,ERRADO
19,3,2,SAT,SAT,CORRETO,SAT,CORRETO
20,6,5,SAT,SAT,CORRETO,UNSAT,ERRADO
